feature,mean_corr,median_corr,std_corr,sign_consistency,n_years_sig,stability_score,corr_2017,corr_2018,corr_2019,corr_2024,corr_2025,pval_2017,pval_2018,pval_2019,pval_2024,pval_2025
f_direction_long,0.061983,0.061269,0.023874,1.000000,0,1.829821,0.061269,0.057082,0.066266,0.025192,0.100107,0.331732,0.365894,0.292774,0.689463,0.112915
f_risk_points,0.135379,0.105893,0.068452,1.000000,2,1.725627,0.057774,0.082138,0.194948,0.236144,0.105893,0.360102,0.192842,0.001798,0.000145,0.093473
f_regime_trend_direction,0.059358,0.053539,0.028979,1.000000,0,1.522839,0.055767,0.023270,0.112229,0.053539,0.051987,0.377063,0.712619,0.074188,0.395509,0.411239
f_regime_vol_trend,0.052684,0.043618,0.028201,1.000000,0,1.379117,0.050138,0.024909,0.106587,0.038166,0.043618,0.427168,0.693357,0.090042,0.544859,0.490637
f_price_ema_slope,0.073188,0.095887,0.051899,0.800000,1,0.945901,0.095887,-0.012000,0.130538,0.041166,0.110348,0.128226,0.849365,0.037611,0.513682,0.080402
f_price_ema_dist_pct,0.068086,0.079632,0.049359,0.800000,1,0.917611,0.079632,-0.008840,0.131458,0.036588,0.101589,0.206820,0.888728,0.036272,0.561618,0.107656
f_ema_distance_pct,0.067875,0.078203,0.049282,0.800000,1,0.915958,0.078203,-0.008053,0.131914,0.035718,0.101595,0.215112,0.898578,0.035625,0.570971,0.107634
f_vol_relative,0.048288,0.029842,0.045028,1.000000,0,0.877508,0.002418,0.029842,0.114657,0.087799,0.006723,0.969466,0.636625,0.068102,0.162991,0.915425
f_price_ema_dist,0.064520,0.076500,0.050437,0.800000,1,0.854043,0.076500,-0.013054,0.130189,0.030972,0.097992,0.225298,0.836306,0.038129,0.623213,0.120765
f_ema_distance,0.064334,0.075178,0.050368,0.800000,1,0.852557,0.075178,-0.012248,0.130638,0.030096,0.098004,0.233441,0.846287,0.037463,0.633081,0.120717
f_range_vs_atr,0.058349,0.074487,0.056286,0.800000,0,0.704209,-0.044985,0.111729,0.074487,0.048045,0.102468,0.476248,0.076077,0.236841,0.445837,0.104627
f_range_size_vs_atr,0.058349,0.074487,0.056286,0.800000,0,0.704209,-0.044985,0.111729,0.074487,0.048045,0.102468,0.476248,0.076077,0.236841,0.445837,0.104627
f_price_ret_12bar,0.063063,0.077943,0.062091,0.800000,1,0.699818,0.085769,-0.034948,0.152889,0.033661,0.077943,0.173832,0.580063,0.014728,0.593362,0.217562
f_range_dist_below,-0.037217,-0.033571,0.042236,0.800000,0,0.569987,-0.019639,0.021049,-0.108922,-0.045004,-0.033571,0.755907,0.738998,0.083181,0.475188,0.595820
f_range_high,0.061180,0.076245,0.059506,0.600000,1,0.528126,-0.010534,0.124176,0.076245,0.122607,-0.006593,0.867581,0.048495,0.225931,0.050967,0.917052
f_range_low,0.060148,0.075267,0.058532,0.600000,1,0.526604,-0.009869,0.123421,0.075267,0.119050,-0.007127,0.875879,0.049889,0.231957,0.058129,0.910365
f_price_ema,0.058805,0.072626,0.059582,0.600000,1,0.507070,-0.011693,0.124049,0.072626,0.118926,-0.009882,0.853168,0.048728,0.248795,0.058392,0.875959
f_regime_trend_strength,0.018250,0.016716,0.038210,0.600000,0,0.227135,0.048966,0.016716,-0.040239,0.068286,-0.002477,0.438070,0.791332,0.523208,0.278275,0.968795
f_range_size,0.025178,0.025155,0.058466,0.600000,1,0.220647,-0.036462,-0.022509,0.029659,0.130047,0.025155,0.563751,0.721612,0.638030,0.038341,0.691077
f_range_dist_above,0.018182,0.012763,0.058518,0.600000,0,0.159214,0.052045,-0.000249,0.101368,-0.075018,0.012763,0.409779,0.996851,0.107021,0.233505,0.840218
f_vola_atr_norm,-0.017479,-0.042514,0.078711,0.800000,1,0.157623,-0.051634,-0.109586,-0.042514,0.126195,-0.009855,0.413490,0.081914,0.499978,0.044501,0.876297
f_price_rolling_range,-0.012484,-0.031052,0.082818,0.800000,1,0.107603,-0.046611,-0.104685,-0.031052,0.142988,-0.023061,0.460439,0.096626,0.622318,0.022647,0.715622
f_vola_atr,-0.012346,-0.031135,0.082892,0.800000,1,0.106327,-0.046696,-0.104507,-0.031135,0.143288,-0.022681,0.459622,0.097197,0.621390,0.022362,0.720117
f_time_weekday,0.012990,-0.011607,0.078105,0.600000,1,0.088465,0.030104,-0.044913,-0.011607,0.155487,-0.064119,0.633673,0.476958,0.853950,0.013104,0.310660
f_regime_breakout_strength,0.008412,-0.015649,0.050898,0.600000,0,0.082882,-0.046359,-0.015649,0.079689,0.058370,-0.033989,0.462868,0.804366,0.205590,0.354205,0.591244
f_vol_expansion,0.012447,0.037097,0.086816,0.600000,1,0.077137,0.055848,-0.056273,0.136214,0.037097,-0.110652,0.376370,0.372742,0.029983,0.556183,0.079569
f_regime_compression,0.003650,0.029368,0.056339,0.800000,0,0.044019,-0.108047,0.031906,0.044099,0.020925,0.029368,0.086326,0.613480,0.484117,0.739981,0.642657
f_price_bar_range,-0.005372,-0.044607,0.081802,0.600000,1,0.035112,-0.044607,-0.094114,0.039110,0.132757,-0.060008,0.479971,0.135468,0.534944,0.034453,0.342766
f_vola_tr,-0.004480,-0.045362,0.081584,0.600000,1,0.029350,-0.045362,-0.093213,0.038925,0.133849,-0.056599,0.472558,0.139270,0.536886,0.032984,0.370931
f_price_gap,0.000999,-0.003758,0.052444,0.600000,0,0.009596,-0.003758,0.031991,-0.075665,-0.026796,0.079221,0.952570,0.612530,0.229489,0.670818,0.210095
f_vol_avg,-0.001135,0.027306,0.062783,0.600000,0,0.009353,0.029707,-0.068439,0.027306,0.084689,-0.078937,0.638151,0.278160,0.664928,0.178469,0.211737
f_price_gap_pct,-0.000689,-0.004252,0.055235,0.600000,0,0.006336,-0.004252,0.031265,-0.087405,-0.021528,0.078476,0.946350,0.620634,0.164893,0.732770,0.214426
f_vola_realized,-0.000795,-0.026415,0.072164,0.600000,0,0.005808,-0.037333,-0.098902,0.051234,0.107440,-0.026415,0.554464,0.116603,0.416195,0.087486,0.676448
